booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
, Takeout,  $    $    $    $  ,Steakhouse,Union Square,(312),4.4 stars out of 5,Strip House Speakeasy
,,  $    $      ,American,Upper West Side,(93),4.6 stars out of 5,Trump Grill
,2,  $    $      ,Mexican,Hell's Kitchen,(1005),4.5 stars out of 5,Tacuba Hell's Kitchen
,,  $    $      ,Seafood,Chelsea,(473),4.6 stars out of 5,Cull and Pistol
, Takeout,  $    $    $    $  ,Japanese,Midtown West,(79),4.8 stars out of 5,Yakitori Tori Shin - Select Counter
,,  $    $    $    ,Italian,Greenwich Village,(519),4.4 stars out of 5,Gradisca
, Takeout,  $    $      ,Burgers,Union Square,(681),4.4 stars out of 5,5 Napkin Burger - Union Square
,2,  $    $      ,Thai,Union Square,(397),4.2 stars out of 5,Spice - Union Square
, Takeout,  $    $      ,French,Greenwich Village,(344),4.6 stars out of 5,Bar Six
, Delivery partners,  $    $      ,Italian,Midtown West,(125),4.6 stars out of 5,Aroma Trattoria
, Takeout,  $    $      ,Chinese (Sichuan),Midtown East,,,Szechuan Garden
,,  $    $    $    $  ,Steakhouse,Meatpacking District,(3454),4.3 stars out of 5,Old Homestead Steakhouse- New York City
,,  $    $    $    ,American,Greenwich Village,(239),4.6 stars out of 5,Villanelle
,,  $    $    $    ,American,Midtown East,(696),4.7 stars out of 5,SIDECAR at P.J. Clarke's
,,  $    $    $    ,Italian,Midtown East,(695),4.5 stars out of 5,Montebello Ristorante Italiano
, Takeout,  $    $      ,American,Midtown West,(686),4.2 stars out of 5,Brooklyn Diner
,,  $    $    $    ,Italian,Chelsea,(79),4.7 stars out of 5,Portale Restaurant
,2,  $    $    $    $  ,Japanese,Midtown West,(658),4.7 stars out of 5,Yakitori Tori Shin
,,  $    $      ,Mediterranean,Midtown East,(73),4.5 stars out of 5,Pathos Cafe
,,  $    $    $    ,Steakhouse,Midtown East,(606),4.5 stars out of 5,American Cut Steakhouse Midtown
,,  $    $    $    ,Contemporary American,Midtown West,(887),4.3 stars out of 5,Todd English at The Plaza Food Hall
, Takeout,  $    $      ,Italian,Hell's Kitchen,(2124),4.5 stars out of 5,Bocca di Bacco (Hell's Kitchen - 54th St.)
,,  $    $    $    $  ,American,Midtown East,(2792),4.1 stars out of 5,BLT Steak
,2,  $    $      ,Thai,Midtown West,(1),3.4 stars out of 5,Chai Thai Kitchen
, Takeout,  $    $    $    ,Indian,Midtown West,(19),4.5 stars out of 5,Mughlai Indian Cuisine - W. 55th
, Takeout,  $    $      ,Burgers,Theater District / Times Square,(37),4.4 stars out of 5,Kings of Kobe
,,  $    $      ,American,Union Square,(356),4.4 stars out of 5,Bowery Road
,2,  $    $    $    ,Mediterranean,Midtown East,(68),4.6 stars out of 5,yara
, Delivery partners,  $    $      ,Indian,Midtown East,(352),4.4 stars out of 5,2 Darbar Grill
, Takeout,  $    $      ,Cuban,Midtown West,(1644),4.5 stars out of 5,Guantanamera
, Takeout,  $    $      ,Mediterranean,Hell's Kitchen,(600),4.6 stars out of 5,Medi Wine Bar
, Takeout,  $    $      ,American,Hell's Kitchen,(7),4.7 stars out of 5,Westville Hell's Kitchen
, Takeout,  $    $      ,Italian,Midtown West,(398),4.4 stars out of 5,Joe G Restaurant
, Takeout,  $    $    $    ,Italian,Midtown East,(767),4.5 stars out of 5,Amata
,2,  $    $    $    ,Italian,Hell's Kitchen,(969),4.4 stars out of 5,Amarone
, Delivery partners,  $    $      ,Italian,Midtown East,(545),4.7 stars out of 5,La Villetta
,,  $    $      ,Indian,Hell's Kitchen,,,Karahi Indian Cuisine
,,  $    $      ,American,Midtown East,(8),4.4 stars out of 5,Ty Bar - Four Seasons New York
, Takeout,  $    $      ,Mexican,Midtown West,(221),4.2 stars out of 5,Cancun
