booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
,Delivery,  $    $      ,Greek,Midtown West,(943),4.5 stars out of 5,Souvlaki GR Midtown
,Delivery,  $    $      ,American,Upper West Side,(93),4.6 stars out of 5,Trump Grill
,Delivery,  $    $      ,Mexican,Hell's Kitchen,(1005),4.5 stars out of 5,Tacuba Hell's Kitchen
,Delivery,  $    $      ,Seafood,Chelsea,(473),4.6 stars out of 5,Cull and Pistol
,Delivery,  $    $    $    ,Italian,Greenwich Village,(519),4.4 stars out of 5,Gradisca
,Delivery,  $    $    $    $  ,Japanese,Midtown West,(79),4.8 stars out of 5,Yakitori Tori Shin - Select Counter
,Delivery,  $    $      ,Burgers,Union Square,(681),4.4 stars out of 5,5 Napkin Burger - Union Square
,Delivery,  $    $      ,Thai,Union Square,(397),4.2 stars out of 5,Spice - Union Square
,Delivery,  $    $      ,French,Greenwich Village,(344),4.6 stars out of 5,Bar Six
,Delivery,  $    $    $    $  ,Steakhouse,Meatpacking District,(3454),4.3 stars out of 5,Old Homestead Steakhouse- New York City
,Delivery,  $    $      ,Chinese (Sichuan),Midtown East,,,Szechuan Garden
,Delivery,  $    $      ,Italian,Midtown West,(125),4.6 stars out of 5,Aroma Trattoria
,Delivery,  $    $    $    ,American,Midtown East,(696),4.7 stars out of 5,SIDECAR at P.J. Clarke's
,Delivery,  $    $    $    ,American,Greenwich Village,(239),4.6 stars out of 5,Villanelle
,Delivery,  $    $      ,American,Midtown West,(686),4.2 stars out of 5,Brooklyn Diner
,Delivery,  $    $    $    ,Italian,Midtown East,(695),4.5 stars out of 5,Montebello Ristorante Italiano
,Delivery,  $    $    $    ,Italian,Chelsea,(79),4.7 stars out of 5,Portale Restaurant
,Delivery,  $    $    $    $  ,Steakhouse,Midtown East,(1447),4.5 stars out of 5,Wolfgang's Steak House - 54th Street
,Delivery,  $    $      ,Mediterranean,Midtown East,(73),4.5 stars out of 5,Pathos Cafe
,Delivery,  $    $    $    ,Steakhouse,Midtown East,(606),4.5 stars out of 5,American Cut Steakhouse Midtown
,Delivery,  $    $    $    ,Contemporary American,Midtown West,(887),4.3 stars out of 5,Todd English at The Plaza Food Hall
,Delivery,  $    $      ,Italian,Hell's Kitchen,(2124),4.5 stars out of 5,Bocca di Bacco (Hell's Kitchen - 54th St.)
,Delivery,  $    $    $    $  ,American,Midtown East,(2792),4.1 stars out of 5,BLT Steak
,Delivery,  $    $      ,Indian,Midtown East,(352),4.4 stars out of 5,2 Darbar Grill
,Delivery,  $    $      ,Thai,Midtown West,(1),3.4 stars out of 5,Chai Thai Kitchen
,Delivery,  $    $    $    ,Indian,Midtown West,(19),4.5 stars out of 5,Mughlai Indian Cuisine - W. 55th
,Delivery,  $    $      ,Burgers,Theater District / Times Square,(37),4.4 stars out of 5,Kings of Kobe
,Delivery,  $    $      ,American,Union Square,(356),4.4 stars out of 5,Bowery Road
,Delivery,  $    $    $    ,Mediterranean,Midtown East,(68),4.6 stars out of 5,yara
,Delivery,  $    $      ,American,Hell's Kitchen,(7),4.7 stars out of 5,Westville Hell's Kitchen
,Delivery,  $    $      ,Cuban,Midtown West,(1644),4.5 stars out of 5,Guantanamera
,Delivery,  $    $      ,Mediterranean,Hell's Kitchen,(600),4.6 stars out of 5,Medi Wine Bar
,Delivery,  $    $    $    ,Italian,Midtown East,(767),4.5 stars out of 5,Amata
,Delivery,  $    $      ,Italian,Midtown East,(545),4.7 stars out of 5,La Villetta
,Delivery,  $    $      ,Italian,Midtown West,(398),4.4 stars out of 5,Joe G Restaurant
,Delivery,  $    $    $    ,Italian,Hell's Kitchen,(969),4.4 stars out of 5,Amarone
,Delivery,  $    $      ,Indian,Hell's Kitchen,,,Karahi Indian Cuisine
,Delivery,  $    $      ,American,Midtown East,(8),4.4 stars out of 5,Ty Bar - Four Seasons New York
,Delivery,  $    $      ,Mexican,Midtown West,(221),4.2 stars out of 5,Cancun
,Delivery,  $    $    $    ,Italian,Chelsea,(22),4.3 stars out of 5,Marble Downtown
,Delivery,  $    $    $    ,American,Hell's Kitchen,(3408),4.5 stars out of 5,Print Restaurant
,Delivery,  $    $      ,Sushi,Columbus Circle,(151),4.3 stars out of 5,Fuji Sushi
,Delivery,  $    $    $    ,Mexican,West Village,(26),4.6 stars out of 5,La Contenta Oeste
,Delivery,  $    $    $    ,American,Midtown West,(30),4.1 stars out of 5,The Living Room
,Delivery,  $    $      ,Lebanese,Midtown East,(1527),4.6 stars out of 5,NAYA Mezze & Grill
,Delivery,  $    $      ,Ramen,Chelsea,(4),4.6 stars out of 5,Kogane
,Delivery,  $    $    $    $  ,Steakhouse,Midtown West,(311),4.7 stars out of 5,Tuscany Steakhouse
,Delivery,  $    $      ,American,Midtown West,(19),3.8 stars out of 5,Carnegie Diner & Cafe
,Delivery,  $    $    $    ,Contemporary American,East Village,(732),4.7 stars out of 5,Feast
,Delivery,  $    $      ,Greek,Union Square,(404),4.6 stars out of 5,Village Taverna Greek Grill
,Delivery,  $    $      ,Contemporary Korean,Meatpacking District,,,K-pop Haus
,Delivery,  $    $      ,Korean,Meatpacking District,,,Lulu Poke
,Delivery,  $    $      ,Mexican,Union Square,,,Tortaria
,Delivery,  $    $      ,Mexican,Meatpacking District,,,Los Panchos Taqueria
,Delivery,  $    $      ,Japanese,Meatpacking District,,,Makito
,Delivery,  $    $      ,Japanese,Meatpacking District,,,Momo Curry
,Delivery,  $    $      ,American,Meatpacking District,,,CRAZY DOGS NYC
,Delivery,  $    $      ,Italian,Meatpacking District,,,I Love Panzerotti
,Delivery,  $    $    $    ,Cocktail Bar,Meatpacking District,(2),,The Bags NYC
,Delivery,  $    $      ,American,Chelsea,,,Wing Club
,Delivery,  $    $    $    ,Italian,Greenwich Village,(171),4.6 stars out of 5,Osteria 57
,Delivery,  $    $      ,Seafood,Hell's Kitchen,(423),4.6 stars out of 5,Blue Seafood Bar
,Delivery,  $    $    $    ,American,Midtown West,(196),4.6 stars out of 5,Ardesia Wine Bar
,Delivery,  $    $      ,Barbecue,West Village,(176),4 stars out of 5,Mighty Quinn's Barbeque
,Delivery,  $    $    $    $  ,Japanese,Chelsea,(14),4.7 stars out of 5,Mojo Omakase
,Delivery,  $    $      ,Italian,Midtown West,(34),4.5 stars out of 5,Wolf - Nordstrom New York City
,Delivery,  $    $    $    ,American,Greenwich Village,(370),4.4 stars out of 5,Society Cafe
,Delivery,  $    $      ,Italian,Midtown West,(17),4.3 stars out of 5,Jeannie's - Nordstrom New York City
,Delivery,  $    $      ,Contemporary American,Midtown West,(35),4.4 stars out of 5,Bistro Verde - Nordstrom New York City
,Delivery,  $    $      ,Pan-Asian,Midtown West,(1),4.4 stars out of 5,Hani Pacific - Nordstrom New York City
,Delivery,  $    $      ,American,Hell's Kitchen,(98),4.1 stars out of 5,Route 66
,Delivery,  $    $      ,Japanese,Midtown East,(2339),4.6 stars out of 5,"Gyu-Kaku - New York, NY | Midtown"
,Delivery,  $    $      ,Contemporary American,Chelsea,(37),4.6 stars out of 5,Jack's Wife Freda - Chelsea
,Delivery,  $    $      ,Chinese,Midtown West,(104),4.1 stars out of 5,Red Peony
,Delivery,  $    $      ,Italian,Midtown West,(1455),4.6 stars out of 5,PizzArte
,Delivery,  $    $      ,Fusion / Eclectic,Chelsea,(3867),4.5 stars out of 5,TAO Downtown
,Delivery,  $    $    $    ,Japanese,Chelsea,(244),4.6 stars out of 5,SushiNao
,Delivery,  $    $    $    $  ,Japanese,Midtown West,(658),4.7 stars out of 5,Yakitori Tori Shin
,Delivery,  $    $      ,American,Midtown West,(752),4.5 stars out of 5,Jams - NYC
,Delivery,  $    $    $    ,Italian,West Village,(199),4.5 stars out of 5,Sotto 13
,Delivery,  $    $      ,Italian,Midtown East,(256),4.2 stars out of 5,Angelo Bellini Italian Restaurant
,Delivery,  $    $      ,Comfort Food,Union Square,(7759),4.4 stars out of 5,Max Brenner - Union Square
,Delivery,  $    $    $    $  ,Japanese,West Village,(244),4.7 stars out of 5,Kosaka
,Delivery,  $    $      ,French,Hell's Kitchen,(108),4.3 stars out of 5,La Bergamote - Hell's Kitchen
,Delivery,  $    $    $    $  ,Steakhouse,Midtown East,(2542),4.6 stars out of 5,The Palm Too
,Delivery,  $    $      ,Asian,Theater District / Times Square,,,Manting Restaurant
,Delivery,  $    $      ,Brazilian,Chelsea,,,Muze Sazon
,Delivery,  $    $      ,Chinese,Hell's Kitchen,,,Ollie's
,Delivery,  $    $      ,Italian,Gramercy / Flatiron,,,Big Slice (the)
,Delivery,  $    $      ,Spanish,Gramercy / Flatiron,(897),4.6 stars out of 5,Sala One Nine
,Delivery,  $    $    $    $  ,Contemporary American,Midtown East,(1052),4 stars out of 5,Peacock Alley - Waldorf Astoria New York
,Delivery,  $    $      ,Thai,Theater District / Times Square,(1),5 stars out of 5,Pongsri Thai
,Delivery,  $    $      ,Italian,Theater District / Times Square,(5202),4.2 stars out of 5,Esca
,Delivery,  $    $    $    $  ,American,Hell's Kitchen,,,Adella
,Delivery,  $    $      ,American,Theater District / Times Square,,,Roast Kitchen
,Delivery,  $    $      ,Thai,Chelsea,(11),4.2 stars out of 5,Royal Siam Thai Cuisine
,Delivery,  $    $      ,American,Gramercy / Flatiron,(2),3 stars out of 5,Burger & Lobster - NY
,Delivery,  $    $    $    $  ,American,Gramercy / Flatiron,,,Flatiron Lounge
,Delivery,  $    $    $    ,American,Kips Bay,(2),4.3 stars out of 5,Bluebell Cafe
,Delivery,  $    $      ,Vegetarian / Vegan,Gramercy / Flatiron,(6),3.3 stars out of 5,VSPOT Organic - Gramercy
,Delivery,  $    $    $    ,American,Midtown West,(1411),4.6 stars out of 5,Michael's
,Delivery,  $    $      ,Turkish,Midtown East,(145),4.6 stars out of 5,Sip Sak
,Delivery,  $    $    $    $  ,Italian,Chelsea,(770),3.9 stars out of 5,Il Bastardo
,Delivery,  $    $      ,Thai,Hell's Kitchen,(20),4.5 stars out of 5,Thai Chella
,Delivery,  $    $    $    ,Japanese,Midtown East,(471),4.6 stars out of 5,Restaurant Nippon
,Delivery,  $    $      ,Mediterranean,Union Square,(120),4.3 stars out of 5,Pierre Loti Union Square
,Delivery,  $    $    $    $  ,Sushi,Union Square,(1106),4.6 stars out of 5,15 East Restaurant
,Delivery,  $    $      ,Continental,Chelsea,(612),4.4 stars out of 5,Gallow Green
,Delivery,  $    $    $    ,French,Midtown East,(10),4.6 stars out of 5,Bar Shun
,Delivery,  $    $      ,Pizzeria,Chelsea,(181),4.5 stars out of 5,Ovest Pizzoteca
,Delivery,  $    $      ,Seafood,Midtown East,(1987),4.6 stars out of 5,Crave Fishbar - Midtown
,Delivery,  $    $    $    ,Spanish,Chelsea,(2011),4.7 stars out of 5,Salinas
,Delivery,  $    $    $    ,Italian,Midtown West,(807),4.6 stars out of 5,Mozzarella & Vino
,Delivery,  $    $    $    $  ,Afternoon Tea,Midtown West,(96),4.3 stars out of 5,Gotham Lounge
,Delivery,  $    $    $    $  ,Italian,Midtown West,(1432),4.8 stars out of 5,Il Tinello
,Delivery,  $    $    $    ,French,Midtown East,(531),4.5 stars out of 5,Le Bateau Ivre
,Delivery,  $    $    $    ,Seafood,Chelsea,(4),4.8 stars out of 5,The Mermaid Inn - Chelsea
,Delivery,  $    $    $    ,Spanish,Midtown East,(814),4.4 stars out of 5,Socarrat Paella Bar - Midtown East
,Delivery,  $    $    $    ,American,Midtown West,(264),3.7 stars out of 5,Murals on 54 Restaurant and Randolph's Bar And Lounge
,Delivery,  $    $      ,American,Midtown West,(174),4.3 stars out of 5,Connolly's Pub and Restaurant - 54th
,Delivery,  $    $      ,American,Midtown West,(1),3.9 stars out of 5,Herb N' Kitchen - New York Hilton Midtown
,Delivery,  $    $    $    ,Tapas / Small Plates,Midtown East,(14),4.3 stars out of 5,Shochu and Tapas AYA
,Delivery,  $    $      ,Italian,Chelsea,(24),4.3 stars out of 5,Don Giovanni's - Chelsea
,Delivery,  $    $    $    ,American,Chelsea,(26),4.5 stars out of 5,Worthwild
,Delivery,  $    $    $    ,Swiss,Midtown West,(424),4.6 stars out of 5,Mont Blanc 52
,Delivery,  $    $      ,Italian,Midtown East,(246),4.5 stars out of 5,Pescatore
,Delivery,  $    $    $    ,Italian,Hell's Kitchen,(1),5 stars out of 5,Maria Pia
,Delivery,  $    $    $    $  ,Italian,Midtown East,(651),4.6 stars out of 5,Il Postino
,Delivery,  $    $    $    $  ,Indian,Midtown West,(2012),4.7 stars out of 5,Indian Accent
,Delivery,  $    $    $    ,American,Midtown East,(476),4.7 stars out of 5,Bill's Townhouse
,Delivery,  $    $    $    ,Chinese (Shanghai),Union Square,(76),4.1 stars out of 5,Xu's Public House
,Delivery,  $    $      ,Japanese,Midtown West,(4058),4 stars out of 5,Benihana - New York
,Delivery,  $    $    $    $  ,Nordic,Midtown East,(1999),4.7 stars out of 5,Aquavit
,Delivery,  $    $      ,Pizzeria,Hell's Kitchen,(217),4.1 stars out of 5,Angelo's Pizza
,Delivery,  $    $    $    ,Italian,Midtown East,(1253),4.6 stars out of 5,Cellini
,Delivery,  $    $      ,Comfort Food,Midtown West,(138),4.2 stars out of 5,Faces and Names
,Delivery,  $    $    $    ,Contemporary American,Midtown West,(11),3.5 stars out of 5,Dabble
,Delivery,  $    $    $    ,Steakhouse,Midtown East,(1046),4.6 stars out of 5,Bobby Van's Steakhouse - 54th Street
,Delivery,  $    $      ,American,Theater District / Times Square,(1693),4.4 stars out of 5,Lillie's Times Square
,Delivery,  $    $      ,Brazilian,Hell's Kitchen,(255),4.5 stars out of 5,Rice N Bean - Hell's Kitchen
,Delivery,  $    $    $    ,Vietnamese,Turtle Bay,(31),4.4 stars out of 5,Obao - 53rd St
,Delivery,  $    $      ,Middle Eastern,Midtown East,(39),4 stars out of 5,Karizma Hookah Lounge
,Delivery,  $    $    $    ,Greek,Midtown West,(4899),4.5 stars out of 5,Molyvos
,Delivery,  $    $      ,American,Midtown East,(339),4.3 stars out of 5,Ophelia
,Delivery,  $    $      ,Mexican,Midtown West,(1145),4.3 stars out of 5,Iguana
,Delivery,  $    $    $    $  ,Kosher,Midtown East,(433),4.7 stars out of 5,Mike's Bistro - UES
,Delivery,  $    $      ,Korean,Midtown East,(127),3.5 stars out of 5,BarKogi
,Delivery,  $    $    $    ,Italian,Theater District / Times Square,(1791),3.8 stars out of 5,DaMarino NYC
,Delivery,  $    $    $    ,Contemporary American,Midtown West,(2898),4.7 stars out of 5,BG - Bergdorf Goodman
,Delivery,  $    $    $    ,Italian,Midtown West,(898),4.5 stars out of 5,Bice Cucina FKA Bistro Milano
,Delivery,  $    $    $    ,Contemporary Mexican,Meatpacking District,(1040),4.6 stars out of 5,Bodega Negra at Dream Downtown
,Delivery,  $    $    $    ,Chinese,Meatpacking District,(348),4.4 stars out of 5,Philippe Chow - Downtown
,Delivery,  $    $      ,Asian,Midtown West,(6),3.9 stars out of 5,Wagamama - Midtown
,Delivery,  $    $    $    ,Italian,Midtown West,(93),4.6 stars out of 5,Felice 56
,Delivery,  $    $      ,Italian,Theater District / Times Square,(966),4.3 stars out of 5,Da Tommaso NYC
,Delivery,  $    $    $    ,French,Midtown West,(4478),4.6 stars out of 5,Brasserie 8 1/2
,Delivery,  $    $    $    ,American,Hell's Kitchen,(171),4.5 stars out of 5,The Harrow
,Delivery,  $    $    $    $  ,Italian,Midtown East,(1487),4.7 stars out of 5,Armani Ristorante 5th Avenue
,Delivery,  $    $    $    ,Contemporary American,Midtown East,(398),4.6 stars out of 5,The Garden at The Four Seasons
,Delivery,  $    $      ,American,Theater District / Times Square,(39),4.4 stars out of 5,The Three Monkeys Bar
,Delivery,  $    $    $    ,Gastro Pub,Upper East Side,(194),4.5 stars out of 5,Hudson Malone
